Hint_\t,Yellow row will be inseted to the database_\t,_\t,_\t,_\t,_\t,_\t,_\t,
config_picture_show_r_movement_\t,m_model_id_\t,58_\t,4_\t,spec10_\t,P7_\t,Casement single_\t,_\t,0
config_picture_show_r_movement_\t,m_model_id_\t,20_\t,4_\t,spec10_\t,P7_\t,In-swing single_\t,_\t,0
config_picture_show_r_movement_\t,m_model_id_\t,21_\t,4_\t,spec10_\t,P7_\t,In-swing double_\t,_\t,0
config_picture_show_r_movement_\t,m_model_id_\t,22_\t,4_\t,spec10_\t,P7_\t,Out-swing single_\t,_\t,0
config_picture_show_r_movement_\t,m_model_id_\t,23_\t,4_\t,spec10_\t,P7_\t,Out-swing double_\t,_\t,0
config_picture_show_r_movement_\t,m_model_id_\t,2_\t,3_\t,spec10_\t,WE-40_\t,Single sliding window_\t,_\t,0
config_picture_show_r_movement_\t,m_model_id_\t,30_\t,6_\t,spec10_\t,Exterior_\t,Sliding gate single_\t,_\t,0
config_picture_show_r_movement_\t,m_model_id_\t,31_\t,6_\t,spec10_\t,Exterior_\t,Sliding gate double_\t,_\t,0
config_do_not_display_detail_cart_\t,product_id_\t,6_\t,_\t,_\t,Exterior_\t,_\t,_\t,0
config_do_not_display_detail_cart_\t,product_id_\t,9_\t,_\t,_\t,Hanging door_\t,_\t,_\t,0
config_do_not_display_detail_cart_\t,product_id_\t,5_\t,_\t,_\t,GIESTA_\t,_\t,_\t,0
config_display_pitch_list_\t,m_model_id_\t,30_\t,6_\t,Sliding pitch.jpg_\t,Sliding gate_\t,Single sliding gate_\t,_\t,0
config_display_pitch_list_\t,m_model_id_\t,31_\t,6_\t,Sliding pitch.jpg_\t,Sliding gate_\t,Double sliding gate_\t,_\t,0
config_display_pitch_list_\t,m_model_id_\t,34_\t,6_\t,Folding, Swing, fence pitch.jpg_\t,Swing gate_\t,Swing gate(Single)_\t,_\t,0
config_display_pitch_list_\t,m_model_id_\t,35_\t,6_\t,Folding, Swing, fence pitch.jpg_\t,Swing gate_\t,Swing gate(double)_\t,_\t,0
config_display_pitch_list_\t,m_model_id_\t,63_\t,6_\t,Folding, Swing, fence pitch.jpg_\t,Swing gate_\t,New Swing gate(Single)_\t,_\t,0
config_display_pitch_list_\t,m_model_id_\t,64_\t,6_\t,Folding, Swing, fence pitch.jpg_\t,Swing gate_\t,New Swing gate(double)_\t,_\t,0
config_display_pitch_list_\t,m_model_id_\t,32_\t,6_\t,Folding, Swing, fence pitch.jpg_\t,Folding gate_\t,Folding gate(4 panels)_\t,_\t,0
config_display_pitch_list_\t,m_model_id_\t,33_\t,6_\t,Folding, Swing, fence pitch.jpg_\t,Folding gate_\t,Folding gate(6 panels)_\t,_\t,0
config_display_pitch_list_\t,m_model_id_\t,36_\t,6_\t,Folding, Swing, fence pitch.jpg_\t,Fence_\t,Fence_\t,_\t,0
config_always_display_spec_item_\t,spec_code_\t,spec36_\t,_\t,_\t,Handle type_\t,_\t,_\t,0
config_rule_compare_item_spec_\t,product_id_\t,6_\t,_\t,_\t,_\t,_\t,_\t,0
config_rule_compare_item_spec_\t,product_id_\t,8_\t,_\t,_\t,_\t,_\t,_\t,0
config_rule_compare_item_spec_\t,product_id_\t,9_\t,_\t,_\t,Hanging door_\t,_\t,_\t,0
config_display_jamb_frame_list_\t,m_model_id_\t,62_\t,9_\t,Hanging door-Model.jpg_\t,Hanging door_\t,In-wall (2 panels on 2 tracks)_\t,_\t,0
config_clone_option_at_product_\t,product_id_\t,9_\t,60_\t,33.2_\t,35.1_\t,2_\t,_\t,0
config_clone_option_at_product_\t,product_id_\t,9_\t,60_\t,33.2_\t,35.2_\t,2_\t,_\t,0
config_clone_option_at_product_\t,product_id_\t,9_\t,60_\t,33.2_\t,35.3_\t,2_\t,_\t,0
config_clone_option_at_product_\t,product_id_\t,9_\t,62_\t,33.3_\t,35.1_\t,2_\t,_\t,0
