Hint:_\t,Yellow background: Column will be inserted to the database_\t,_\t,
_\t,Red text: Don't input this column, it is using the formular to get data_\t,_\t,
spec_code_\t,m_lang_id_\t,spec_name_\t,del_flg
28.1_\t,2_\t,2 panels_\t,0
28.2_\t,2_\t,3 panels_\t,0
28.3_\t,2_\t,4 panels_\t,0
28.4_\t,2_\t,1 panel_\t,0
28.5_\t,2_\t,With mullion_\t,0
o3.1_\t,2_\t,Rail 2500 mm_\t,0
o3.2_\t,2_\t,Rail 3000 mm_\t,0
o3.3_\t,2_\t,Rail 3500 mm_\t,0
o3.4_\t,2_\t,Rail 4000 mm_\t,0
o3.5_\t,2_\t,Joint rail set_\t,0
o3.6_\t,2_\t,Guide stop parts set_\t,0
o3.7_\t,2_\t,Parts set_\t,0
o3.8_\t,2_\t,Catch part_\t,0
o3.9_\t,2_\t,Gate lock set_\t,0
o3.10_\t,2_\t,Gate hinges_\t,0
o3.11_\t,2_\t,Drop bar_\t,0
o3.12_\t,2_\t,End cap_\t,0
o3.13_\t,2_\t,Corner joint _\t,0
o3.14_\t,2_\t,Setting wall_\t,0
o3.15_\t,2_\t,Lock Set (DUMMY lock)_\t,0
o4.1_\t,2_\t,Lever_L_\t,0
o4.2_\t,2_\t,Lever_K_\t,0
o4.3_\t,2_\t,Digital_\t,0
o4.4_\t,2_\t,Bar_A_\t,0
o4.5_\t,2_\t,Bar_F_\t,0
51.1_\t,2_\t,แบบเปิดเข้า มีธรณี_\t,0
51.2_\t,2_\t,แบบเปิดออก_\t,0
51.3_\t,2_\t,แบบเปิดเข้า ไม่มีธรณี_\t,0
52.1_\t,2_\t,วงกบ_\t,0
52.2_\t,2_\t,แบบมีตาแมว_\t,0
52.3_\t,2_\t,แบบไม่มีตาแมว_\t,0
52.4_\t,2_\t,บานลูก_\t,0
52.5_\t,2_\t,บานรอง_\t,0
52.6_\t,2_\t,ตัวบาน_\t,0
53.1_\t,2_\t,บานเดี่ยว_\t,0
53.2_\t,2_\t,แบบมีช่องแสงด้านข้าง_\t,0
53.3_\t,2_\t,บานคู่_\t,0
54.1_\t,2_\t,L_\t,0
54.2_\t,2_\t,R_\t,0
55.1_\t,2_\t,Lever_\t,0
55.2_\t,2_\t,Digital_\t,0
55.3_\t,2_\t,Bar_\t,0
56.1_\t,2_\t,P01_\t,0
56.2_\t,2_\t,P02_\t,0
56.3_\t,2_\t,P03_\t,0
56.4_\t,2_\t,D01_\t,0
56.5_\t,2_\t,D02_\t,0
56.6_\t,2_\t,D03_\t,0
56.7_\t,2_\t,G01_\t,0
56.8_\t,2_\t,G02_\t,0
56.9_\t,2_\t,G03_\t,0
56.10_\t,2_\t,G04_\t,0
56.11_\t,2_\t,A01_\t,0
57.1_\t,2_\t,ไม่มีช่องแสง_\t,0
57.2_\t,2_\t,มีช่องแสง_\t,0
29.1_\t,2_\t,Center_\t,0
29.2_\t,2_\t,L_\t,0
29.3_\t,2_\t,R_\t,0
29.4_\t,2_\t,LR_\t,0
30.1_\t,2_\t,Mullion C_\t,0
30.2_\t,2_\t,Mullion D_\t,0
30.3_\t,2_\t,Mullion A_\t,0
30.4_\t,2_\t,Mullion CorD_\t,0
31.1_\t,2_\t,มีแกนต่อแนวนอน_\t,0
31.2_\t,2_\t,ไม่มีแกนต่อแนวนอน_\t,0
32.1_\t,2_\t,แบบรางซ่อนในผนัง_\t,0
32.2_\t,2_\t,แบบรางบนผนัง_\t,0
33.1_\t,2_\t,1 ราง 1 บาน_\t,0
33.2_\t,2_\t,1 ราง 2 บาน_\t,0
33.3_\t,2_\t,2 ราง 2 บาน_\t,0
33.4_\t,2_\t,3 ราง 3 บาน_\t,0
33.5_\t,2_\t,2 ราง 4 บาน_\t,0
33.6_\t,2_\t,3 ราง 6 บาน_\t,0
34.1_\t,2_\t,มีเสาข้างบาน_\t,0
34.2_\t,2_\t,ไม่มีเสาข้างบาน_\t,0
34.3_\t,2_\t,Slide-Fix_\t,0
34.4_\t,2_\t,Fix-Slide_\t,0
35.1_\t,2_\t,แบบมาตรฐาน_\t,0
35.2_\t,2_\t,แบบปิดนุ่มนวล (ปิดเท่านั้น)  _\t,0
35.3_\t,2_\t,แบบปิดนุ่มนวล (ปิดและเปิด)_\t,0
36.1_\t,2_\t,มือจับเท่านั้น_\t,0
36.2_\t,2_\t,มือจับพร้อมตัวล็อค_\t,0
36.3_\t,2_\t,มือจับพร้อมตัวล็อคและกุญแจ_\t,0
37.1_\t,2_\t,Sickle type_\t,0
37.2_\t,2_\t,Latch type_\t,0
o5.1_\t,2_\t,Handle L_\t,0
o5.2_\t,2_\t,Handle R_\t,0
o6.1_\t,2_\t,Standard net_\t,0
o6.2_\t,2_\t,Slim wire net_\t,0
o6.3_\t,2_\t,Without_\t,0
o7.1_\t,2_\t,With_\t,0
o7.2_\t,2_\t,Without_\t,0
o8.1_\t,2_\t,With balancer_\t,0
38.1_\t,2_\t,SG/LG_\t,0
39.1_\t,2_\t,Camlatch_\t,0
39.2_\t,2_\t,Operator_\t,0
39.3_\t,2_\t,Slit window_\t,0
40.1_\t,2_\t,Type A_\t,0
40.2_\t,2_\t,Type B_\t,0
40.3_\t,2_\t,Type C_\t,0
o9.1_\t,2_\t,Limit arm_\t,0
o9.2_\t,2_\t,Without_\t,0
o10.1_\t,2_\t,1.25m_\t,0
o10.2_\t,2_\t,2.75m_\t,0
o11.1_\t,2_\t,Gap Cover_\t,0
41.1_\t,2_\t,100mm_\t,0
41.2_\t,2_\t,120mm_\t,0
41.3_\t,2_\t,140mm_\t,0
41.4_\t,2_\t,60mm_\t,0
41.5_\t,2_\t,80mm_\t,0
41.6_\t,2_\t,72mm_\t,0
41.7_\t,2_\t,88mm_\t,0
41.8_\t,2_\t,101mm_\t,0
