No.,User,"Quotation Date","Quotation No",Item.,HL.,Material,Design,Ref.,Qty,"One Window",Joint,Screen,Off-Spec,"Main Glass",Color,W,H,W(Opening),"Special Code","Glass Type","Glass hicEness","Material reference","Material Description"
1,employee,20200313,BT1_20200313_0001,,,,HPFVNMLRA2450,,1,,,,,,,,,,,,,,
2,employee,20200313,BT1_20200313_0001,,,,X8MBE09BK,,1,,,,,,"Natural Black",3000,1200,,,,,,
3,employee,20200313,BT1_20200313_0001,,,,X8MBC11BK,,1,,,,,,"Natural Black",3000,1200,,,,,,
4,employee,20200313,BT1_20200313_0001,,,,X8MBC10BK,,1,,,,,,"Natural Black",3000,1200,,,,,,
5,employee,20200313,BT1_20200313_0001,,,,X8MWC08BK,,1,,,,,,"Natural Black",3000,1200,,,,,,
6,employee,20200313,BT1_20200313_0001,,,,X8MWC07BK,,1,,,,,,"Natural Black",3000,1200,,,,,,
7,employee,20200313,BT1_20200313_0001,,,,8MWC06BK,,1,,,,,,"Natural Black",3000,1200,,,,,,
8,employee,20200313,BT1_20200313_0001,,,,X8MWC05BK,,1,,,,,,"Natural Black",3000,1200,,,,,,
9,employee,20200313,BT1_20200313_0001,,,,8MWC04BK,,1,,,,,,"Natural Black",3000,1200,,,,,,
10,employee,20200313,BT1_20200313_0001,,,,XGA4PTZ0001,,1,,,,,,"Natural Black",3000,1200,,,,,,
11,employee,20200313,BT1_20200313_0001,,,,X8MBC09BK,,1,,,,,,"Natural Black",3000,1200,,,,,,
12,employee,20200313,BT1_20200313_0001,,,,X8MWC22BK,,1,,,,,,"Natural Black",3000,1200,,,,,,
13,employee,20200313,BT1_20200313_0001,,,,X8MWC21BK,,1,,,,,,"Natural Black",3000,1200,,,,,,
14,employee,20200313,BT1_20200313_0001,,,,X8MDH27BK,,1,,,,,,"Natural Black",3000,1200,,,,,,
15,employee,20200313,BT1_20200313_0001,,,,X8MDC10ZZ,,1,,,,,,"Natural Black",3000,1200,,,,,,
16,employee,20200313,BT1_20200313_0001,,,,X8MDC09ZZ,,1,,,,,,"Natural Black",3000,1200,,,,,,
17,employee,20200313,BT1_20200313_0001,,,,X8MDC08ZZ,,1,,,,,,"Natural Black",3000,1200,,,,,,
18,employee,20200313,BT1_20200313_0001,,,,X8MDC07ZZ,,1,,,,,,"Natural Black",3000,1200,,,,,,
19,employee,20200313,BT1_20200313_0001,,,,X8MDC06ZZ,,1,,,,,,"Natural Black",3000,1200,,,,,,
20,employee,20200313,BT1_20200313_0001,,,,X8MDC05ZZ,,1,,,,,,"Natural Black",3000,1200,,,,,,
21,employee,20200313,BT1_20200313_0001,,,,GA1,,1,,,,,,"Natural Black",3000,1200,,,,,,
22,employee,20200313,BT1_20200313_0001,,,,A4U,,1,,,,,,"Shine Grey",3000,2400,,,,,,
